,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
0,andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845310.0
1,andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138700.0
2,andaman-&-nicobar-islands,2018,1,Merchant payments,298,452507.0
3,andaman-&-nicobar-islands,2018,1,Financial Services,33,10601.4
4,andaman-&-nicobar-islands,2018,1,Others,256,184690.0
5,andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320940.0
6,andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511900.0
7,andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024490.0
8,andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0
9,andaman-&-nicobar-islands,2018,2,Others,368,359838.0
10,andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343500.0
11,andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270800.0
12,andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627360.0
13,andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.49
14,andaman-&-nicobar-islands,2018,3,Others,194,314343.0
15,andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450550.0
16,andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001500.0
17,andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552030.0
18,andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.8
19,andaman-&-nicobar-islands,2018,4,Others,340,468266.0
20,andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611460.0
21,andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,13119,91808300.0
22,andaman-&-nicobar-islands,2019,1,Merchant payments,1759,3266590.0
23,andaman-&-nicobar-islands,2019,1,Financial Services,62,116250.0
24,andaman-&-nicobar-islands,2019,1,Others,283,497095.0
25,andaman-&-nicobar-islands,2019,2,Recharge & bill payments,14676,7242450.0
26,andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,14481,107525000.0
27,andaman-&-nicobar-islands,2019,2,Merchant payments,4031,4702150.0
28,andaman-&-nicobar-islands,2019,2,Financial Services,124,113279.0
29,andaman-&-nicobar-islands,2019,2,Others,377,671471.0
30,andaman-&-nicobar-islands,2019,3,Recharge & bill payments,16219,8171740.0
31,andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,13767,101080000.0
32,andaman-&-nicobar-islands,2019,3,Merchant payments,3519,4428730.0
33,andaman-&-nicobar-islands,2019,3,Financial Services,50,158858.0
34,andaman-&-nicobar-islands,2019,3,Others,215,232625.0
35,andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,18128,121493000.0
36,andaman-&-nicobar-islands,2019,4,Recharge & bill payments,13851,9538690.0
37,andaman-&-nicobar-islands,2019,4,Merchant payments,2920,5247500.0
38,andaman-&-nicobar-islands,2019,4,Financial Services,60,295937.0
39,andaman-&-nicobar-islands,2019,4,Others,200,263178.0
40,andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,18324,142332000.0
41,andaman-&-nicobar-islands,2020,1,Recharge & bill payments,18268,10850400.0
42,andaman-&-nicobar-islands,2020,1,Merchant payments,4424,7752870.0
43,andaman-&-nicobar-islands,2020,1,Financial Services,66,208232.0
44,andaman-&-nicobar-islands,2020,1,Others,216,332393.0
45,andaman-&-nicobar-islands,2020,2,Recharge & bill payments,38125,17659600.0
46,andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,20303,141729000.0
47,andaman-&-nicobar-islands,2020,2,Merchant payments,4004,9236380.0
48,andaman-&-nicobar-islands,2020,2,Financial Services,175,706932.0
49,andaman-&-nicobar-islands,2020,2,Others,355,313313.0
50,andaman-&-nicobar-islands,2020,3,Recharge & bill payments,59310,24756200.0
51,andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,40697,289079000.0
52,andaman-&-nicobar-islands,2020,3,Merchant payments,16096,22683000.0
53,andaman-&-nicobar-islands,2020,3,Financial Services,572,961837.0
54,andaman-&-nicobar-islands,2020,3,Others,808,539450.0
55,andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,81439,533317000.0
56,andaman-&-nicobar-islands,2020,4,Recharge & bill payments,80811,33710000.0
57,andaman-&-nicobar-islands,2020,4,Merchant payments,59391,56867500.0
58,andaman-&-nicobar-islands,2020,4,Financial Services,965,1880550.0
59,andaman-&-nicobar-islands,2020,4,Others,1925,1508080.0
60,andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391000.0
61,andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160900.0
62,andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78607000.0
63,andaman-&-nicobar-islands,2021,1,Financial Services,884,1469350.0
64,andaman-&-nicobar-islands,2021,1,Others,1201,1077920.0
65,andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382000.0
66,andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43692000.0
67,andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707000.0
68,andaman-&-nicobar-islands,2021,2,Financial Services,960,2038520.0
69,andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0
70,andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077790000.0
71,andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243500.0
72,andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991000.0
73,andaman-&-nicobar-islands,2021,3,Financial Services,990,2351010.0
74,andaman-&-nicobar-islands,2021,3,Others,2103,1650770.0
75,andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544930000.0
76,andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842000.0
77,andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243500.0
78,andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137970.0
79,andaman-&-nicobar-islands,2021,4,Others,2855,2453640.0
80,andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682330000.0
81,andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370092000.0
82,andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300100.0
83,andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869680.0
84,andaman-&-nicobar-islands,2022,1,Others,2643,2440320.0
85,andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510839000.0
86,andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088310000.0
87,andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232900.0
88,andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089860.0
89,andaman-&-nicobar-islands,2022,2,Others,3108,2449500.0
