,State,Year,Quater,Brand,Brand_count,Brand_percentage
0,andaman-&-nicobar-islands,2018,1,Xiaomi,1665,0.247033
1,andaman-&-nicobar-islands,2018,1,Samsung,1445,0.214392
2,andaman-&-nicobar-islands,2018,1,Vivo,982,0.145697
3,andaman-&-nicobar-islands,2018,1,Oppo,501,0.0743323
4,andaman-&-nicobar-islands,2018,1,OnePlus,332,0.0492582
5,andaman-&-nicobar-islands,2018,1,Realme,316,0.0468843
6,andaman-&-nicobar-islands,2018,1,Apple,229,0.0339763
7,andaman-&-nicobar-islands,2018,1,Motorola,226,0.0335312
8,andaman-&-nicobar-islands,2018,1,Lenovo,202,0.0299703
9,andaman-&-nicobar-islands,2018,1,Huawei,158,0.0234421
10,andaman-&-nicobar-islands,2018,1,Others,684,0.101484
11,andaman-&-nicobar-islands,2018,2,Xiaomi,2303,0.24487
12,andaman-&-nicobar-islands,2018,2,Samsung,1923,0.204466
13,andaman-&-nicobar-islands,2018,2,Vivo,1523,0.161935
14,andaman-&-nicobar-islands,2018,2,Oppo,708,0.0752791
15,andaman-&-nicobar-islands,2018,2,OnePlus,466,0.0495481
16,andaman-&-nicobar-islands,2018,2,Realme,465,0.0494418
17,andaman-&-nicobar-islands,2018,2,Motorola,319,0.0339181
18,andaman-&-nicobar-islands,2018,2,Apple,308,0.0327485
19,andaman-&-nicobar-islands,2018,2,Lenovo,244,0.0259436
20,andaman-&-nicobar-islands,2018,2,Huawei,230,0.0244551
21,andaman-&-nicobar-islands,2018,2,Others,916,0.097395
22,andaman-&-nicobar-islands,2018,3,Xiaomi,2950,0.242818
23,andaman-&-nicobar-islands,2018,3,Samsung,2409,0.198288
24,andaman-&-nicobar-islands,2018,3,Vivo,2063,0.169808
25,andaman-&-nicobar-islands,2018,3,Oppo,988,0.0813236
26,andaman-&-nicobar-islands,2018,3,OnePlus,617,0.0507861
27,andaman-&-nicobar-islands,2018,3,Realme,603,0.0496337
28,andaman-&-nicobar-islands,2018,3,Motorola,390,0.0321014
29,andaman-&-nicobar-islands,2018,3,Apple,371,0.0305375
30,andaman-&-nicobar-islands,2018,3,Huawei,314,0.0258457
31,andaman-&-nicobar-islands,2018,3,Lenovo,299,0.0246111
32,andaman-&-nicobar-islands,2018,3,Others,1145,0.0942464
33,andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0.244317
34,andaman-&-nicobar-islands,2018,4,Samsung,2936,0.192879
35,andaman-&-nicobar-islands,2018,4,Vivo,2742,0.180134
36,andaman-&-nicobar-islands,2018,4,Oppo,1268,0.0833005
37,andaman-&-nicobar-islands,2018,4,Realme,760,0.0499277
38,andaman-&-nicobar-islands,2018,4,OnePlus,721,0.0473657
39,andaman-&-nicobar-islands,2018,4,Motorola,474,0.0311391
40,andaman-&-nicobar-islands,2018,4,Apple,455,0.0298909
41,andaman-&-nicobar-islands,2018,4,Huawei,398,0.0261464
42,andaman-&-nicobar-islands,2018,4,Lenovo,377,0.0247668
43,andaman-&-nicobar-islands,2018,4,Others,1372,0.0901327
44,andaman-&-nicobar-islands,2019,1,Xiaomi,4576,0.246074
45,andaman-&-nicobar-islands,2019,1,Samsung,3567,0.191815
46,andaman-&-nicobar-islands,2019,1,Vivo,3420,0.183911
47,andaman-&-nicobar-islands,2019,1,Oppo,1600,0.08604
48,andaman-&-nicobar-islands,2019,1,Realme,897,0.0482362
49,andaman-&-nicobar-islands,2019,1,OnePlus,855,0.0459776
50,andaman-&-nicobar-islands,2019,1,Motorola,561,0.0301678
51,andaman-&-nicobar-islands,2019,1,Apple,515,0.0276941
52,andaman-&-nicobar-islands,2019,1,Huawei,515,0.0276941
53,andaman-&-nicobar-islands,2019,1,Lenovo,426,0.0229082
54,andaman-&-nicobar-islands,2019,1,Others,1664,0.0894816
55,andaman-&-nicobar-islands,2019,2,Xiaomi,5296,0.243707
56,andaman-&-nicobar-islands,2019,2,Samsung,4165,0.191662
57,andaman-&-nicobar-islands,2019,2,Vivo,4102,0.188763
58,andaman-&-nicobar-islands,2019,2,Oppo,1905,0.0876628
59,andaman-&-nicobar-islands,2019,2,Realme,1012,0.0465694
60,andaman-&-nicobar-islands,2019,2,OnePlus,950,0.0437163
61,andaman-&-nicobar-islands,2019,2,Huawei,644,0.0296351
62,andaman-&-nicobar-islands,2019,2,Motorola,630,0.0289908
63,andaman-&-nicobar-islands,2019,2,Apple,569,0.0261838
64,andaman-&-nicobar-islands,2019,2,Lenovo,477,0.0219502
65,andaman-&-nicobar-islands,2019,2,Others,1981,0.0911601
66,andaman-&-nicobar-islands,2019,3,Xiaomi,5819,0.243157
67,andaman-&-nicobar-islands,2019,3,Vivo,4685,0.195771
68,andaman-&-nicobar-islands,2019,3,Samsung,4508,0.188375
69,andaman-&-nicobar-islands,2019,3,Oppo,2108,0.0880866
70,andaman-&-nicobar-islands,2019,3,Realme,1158,0.0483891
71,andaman-&-nicobar-islands,2019,3,OnePlus,1045,0.0436672
72,andaman-&-nicobar-islands,2019,3,Huawei,725,0.0302954
73,andaman-&-nicobar-islands,2019,3,Motorola,660,0.0275793
74,andaman-&-nicobar-islands,2019,3,Apple,630,0.0263257
75,andaman-&-nicobar-islands,2019,3,Lenovo,483,0.020183
76,andaman-&-nicobar-islands,2019,3,Others,2110,0.0881702
77,andaman-&-nicobar-islands,2019,4,Xiaomi,6259,0.241102
78,andaman-&-nicobar-islands,2019,4,Vivo,5190,0.199923
79,andaman-&-nicobar-islands,2019,4,Samsung,4900,0.188752
80,andaman-&-nicobar-islands,2019,4,Oppo,2329,0.0897149
81,andaman-&-nicobar-islands,2019,4,Realme,1329,0.0511941
82,andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.0432974
83,andaman-&-nicobar-islands,2019,4,Huawei,798,0.0307396
84,andaman-&-nicobar-islands,2019,4,Motorola,682,0.0262712
85,andaman-&-nicobar-islands,2019,4,Apple,678,0.0261171
86,andaman-&-nicobar-islands,2019,4,Lenovo,488,0.0187982
87,andaman-&-nicobar-islands,2019,4,Others,2183,0.0840909
88,andaman-&-nicobar-islands,2020,1,Xiaomi,6803,0.239812
89,andaman-&-nicobar-islands,2020,1,Vivo,5880,0.207276
90,andaman-&-nicobar-islands,2020,1,Samsung,5335,0.188064
91,andaman-&-nicobar-islands,2020,1,Oppo,2557,0.0901368
92,andaman-&-nicobar-islands,2020,1,Realme,1511,0.0532642
93,andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.0417372
94,andaman-&-nicobar-islands,2020,1,Huawei,891,0.0314086
95,andaman-&-nicobar-islands,2020,1,Apple,735,0.0259095
96,andaman-&-nicobar-islands,2020,1,Motorola,715,0.0252045
97,andaman-&-nicobar-islands,2020,1,Lenovo,500,0.0176255
98,andaman-&-nicobar-islands,2020,1,Others,2257,0.0795615
99,andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.238612
100,andaman-&-nicobar-islands,2020,2,Vivo,7122,0.217732
101,andaman-&-nicobar-islands,2020,2,Samsung,6030,0.184347
102,andaman-&-nicobar-islands,2020,2,Oppo,2976,0.0909813
103,andaman-&-nicobar-islands,2020,2,Realme,1761,0.0538367
104,andaman-&-nicobar-islands,2020,2,OnePlus,1271,0.0388566
105,andaman-&-nicobar-islands,2020,2,Huawei,1005,0.0307245
106,andaman-&-nicobar-islands,2020,2,Apple,792,0.0242128
107,andaman-&-nicobar-islands,2020,2,Motorola,779,0.0238153
108,andaman-&-nicobar-islands,2020,2,Lenovo,552,0.0168756
109,andaman-&-nicobar-islands,2020,2,Others,2617,0.0800061
110,andaman-&-nicobar-islands,2020,3,Xiaomi,9794,0.236942
111,andaman-&-nicobar-islands,2020,3,Vivo,9556,0.231184
112,andaman-&-nicobar-islands,2020,3,Samsung,7572,0.183186
113,andaman-&-nicobar-islands,2020,3,Oppo,3730,0.0902383
114,andaman-&-nicobar-islands,2020,3,Realme,2285,0.05528
115,andaman-&-nicobar-islands,2020,3,OnePlus,1440,0.0348373
116,andaman-&-nicobar-islands,2020,3,Huawei,1213,0.0293456
117,andaman-&-nicobar-islands,2020,3,Motorola,907,0.0219427
118,andaman-&-nicobar-islands,2020,3,Apple,870,0.0210475
119,andaman-&-nicobar-islands,2020,3,Lenovo,606,0.0146607
120,andaman-&-nicobar-islands,2020,3,Others,3362,0.0813354
121,andaman-&-nicobar-islands,2020,4,Xiaomi,12398,0.236621
122,andaman-&-nicobar-islands,2020,4,Vivo,12275,0.234274
123,andaman-&-nicobar-islands,2020,4,Samsung,9938,0.189671
124,andaman-&-nicobar-islands,2020,4,Oppo,4723,0.0901405
125,andaman-&-nicobar-islands,2020,4,Realme,2996,0.0571799
126,andaman-&-nicobar-islands,2020,4,OnePlus,1638,0.0312619
127,andaman-&-nicobar-islands,2020,4,Huawei,1472,0.0280937
128,andaman-&-nicobar-islands,2020,4,Motorola,1032,0.0196962
129,andaman-&-nicobar-islands,2020,4,Apple,973,0.0185701
130,andaman-&-nicobar-islands,2020,4,Lenovo,708,0.0135125
131,andaman-&-nicobar-islands,2020,4,Others,4243,0.0809795
132,andaman-&-nicobar-islands,2021,1,Vivo,13812,0.239136
133,andaman-&-nicobar-islands,2021,1,Xiaomi,13714,0.237439
134,andaman-&-nicobar-islands,2021,1,Samsung,10861,0.188043
135,andaman-&-nicobar-islands,2021,1,Oppo,5158,0.0893036
136,andaman-&-nicobar-islands,2021,1,Realme,3419,0.0591953
137,andaman-&-nicobar-islands,2021,1,OnePlus,1773,0.030697
138,andaman-&-nicobar-islands,2021,1,Huawei,1575,0.0272689
139,andaman-&-nicobar-islands,2021,1,Motorola,1062,0.0183871
140,andaman-&-nicobar-islands,2021,1,Apple,1056,0.0182832
141,andaman-&-nicobar-islands,2021,1,Tecno,796,0.0137816
142,andaman-&-nicobar-islands,2021,1,Others,4532,0.0784653
143,andaman-&-nicobar-islands,2021,2,Vivo,15056,0.242467
144,andaman-&-nicobar-islands,2021,2,Xiaomi,14788,0.238151
145,andaman-&-nicobar-islands,2021,2,Samsung,11476,0.184814
146,andaman-&-nicobar-islands,2021,2,Oppo,5456,0.0878654
147,andaman-&-nicobar-islands,2021,2,Realme,4034,0.064965
148,andaman-&-nicobar-islands,2021,2,OnePlus,1981,0.0319027
149,andaman-&-nicobar-islands,2021,2,Huawei,1559,0.0251067
150,andaman-&-nicobar-islands,2021,2,Apple,1153,0.0185683
151,andaman-&-nicobar-islands,2021,2,Motorola,1054,0.016974
152,andaman-&-nicobar-islands,2021,2,Tecno,974,0.0156856
153,andaman-&-nicobar-islands,2021,2,Others,4564,0.0735003
154,andaman-&-nicobar-islands,2021,3,Vivo,16411,0.245006
155,andaman-&-nicobar-islands,2021,3,Xiaomi,15938,0.237945
156,andaman-&-nicobar-islands,2021,3,Samsung,12028,0.179571
157,andaman-&-nicobar-islands,2021,3,Oppo,5853,0.0873817
158,andaman-&-nicobar-islands,2021,3,Realme,4808,0.0717805
159,andaman-&-nicobar-islands,2021,3,OnePlus,2306,0.0344272
160,andaman-&-nicobar-islands,2021,3,Huawei,1567,0.0233943
161,andaman-&-nicobar-islands,2021,3,Apple,1283,0.0191544
162,andaman-&-nicobar-islands,2021,3,Tecno,1178,0.0175868
163,andaman-&-nicobar-islands,2021,3,Motorola,1017,0.0151832
164,andaman-&-nicobar-islands,2021,3,Others,4593,0.0685707
165,andaman-&-nicobar-islands,2021,4,Vivo,17597,0.245152
166,andaman-&-nicobar-islands,2021,4,Xiaomi,16968,0.236389
167,andaman-&-nicobar-islands,2021,4,Samsung,12574,0.175174
168,andaman-&-nicobar-islands,2021,4,Oppo,6127,0.085358
169,andaman-&-nicobar-islands,2021,4,Realme,5830,0.0812204
170,andaman-&-nicobar-islands,2021,4,OnePlus,2691,0.0374896
171,andaman-&-nicobar-islands,2021,4,Apple,1490,0.0207579
172,andaman-&-nicobar-islands,2021,4,Huawei,1459,0.020326
173,andaman-&-nicobar-islands,2021,4,Tecno,1417,0.0197409
174,andaman-&-nicobar-islands,2021,4,Motorola,1055,0.0146977
175,andaman-&-nicobar-islands,2021,4,Others,4572,0.0636946
176,andaman-&-nicobar-islands,2022,1,Vivo,18688,0.244966
177,andaman-&-nicobar-islands,2022,1,Xiaomi,17957,0.235384
